id,name,location,type
1023,ذا كيو,"محور محمد نجيب - كمباوند لاكوينتا, المستثمرين الشمالية, القاهرة الجديدة, القاهرة.",مول
1024,ذا ماركت مول,", محور جمال عبد الناصر, جاردينيا هايتس, التجمع الثالث, القاهرة الجديدة, القاهرة.",مول
1025,ذا ووتر واى مول,"محور محمد نجيب, ذا ووتر واى كمباوند, المستثمرين الشمالية, القاهرة الجديدة, القاهرة.",مول
1026,رحاب مول 1,"المرحلة الاولى, مدينة الرحاب, القاهرة.",مول
1027,رحاب مول 2,", المرحلة الثالثة, مدينة الرحاب, القاهرة.",مول
1028,ريحانة بلازا مول,"ش الميثاق, الحى العاشر, مدينة نصر, القاهرة.",مول
1029,ريفير ووك مول,"محور محمد نجيب, ميدان وادى دجلة, كمباوند ريفير ووك, المستثمرين الشمالية, القاهرة الجديدة, القاهرة.",مول
1030,رينج رود كومبليكس مول,"الطريق الدائرى, القطامية, القاهرة.",مول
1031,زيكو مول لخدمات المحمول,"ش محمود عمار, عزبة الهجانة, مدينة نصر, القاهرة.",مول
1032,زينة مول,"ش 16, الحى الخامس - المنطقة الثانية, التجمع الخامس, القاهرة الجديدة, القاهرة.",مول
1033,ستار كمبيوتر مول,"7 ش سمير عبد الرؤوف, الحى الثامن, مدينة نصر, القاهرة.",مول
1034,ستايل مول,"8 ش طاهر, روض الفرج, القاهرة.",مول
1035,ستريب وان مول,"ش الخمسين, زهراء المعادى, المعادى, القاهرة.",مول
1036,ستوك مول,"79 ش ابراهيم عبد الرازق, عين شمس الشرقية, القاهرة.",مول
1037,سفن ستارز مول,"القطعة 68/67, منطقة خدمات الحى الاول, التجمع الخامس, القاهرة الجديدة, القاهرة.",مول
1038,سكاى بلازا مول,"كم 38 طريق مصر اسماعيلية الصحراوى, مدينة الشروق, القاهرة.",مول
1039,سكاى مول,"القطعة 40, منطقة خدمات الحى الاول, التجمع الخامس, القاهرة الجديدة, القاهرة.",مول
1040,سكاى مول,", الحى الثانى - المنطقة الخامسة, التجمع الخامس, القاهرة الجديدة, القاهرة.",مول
1041,سما مول,", الحى الثانى - المنطقة الاولى, التجمع الخامس, القاهرة الجديدة, القاهرة.",مول
1042,سمارت مول,"القطعة 304 ش التسعين الجنوبى, التجمع الخامس, القاهرة الجديدة, القاهرة.",مول
1043,سنتر الامين,"63 ش المقريزى, منشية البكرى, مصر الجديدة, القاهرة.",مول
1044,سنتر المغربلين,"ش الداودية, الدرب الاحمر, القاهرة.",مول
1045,سنتر الملكة,"114 ش جسر السويس, الزيتون, القاهرة.",مول
1046,سنتر بين الصورين الجديد,"ش بورسعيد, الموسكى, القاهرة.",مول
1047,سنتر روكسى,"3 ش بطرس غالى, روكسى, مصر الجديدة, القاهرة.",مول
1048,سنتر نور الله,"110 ش احمد زكى, حدائق المعادى, المعادى, القاهرة.",مول
1049,سوبر ماركت صن مول,"6463 ش عبد العزيز حسن, متفرع من ش الجامعة الحديثة, المقطم, القاهرة.",سوبر ماركت
1050,سوق الكمبيوتر 1,"7 ش السخاوى, روكسى, مصر الجديدة, القاهرة.",مول
1051,سوق الكمبيوتر 2,"4 ش الاسيوطى, متفرع من ش الخليفة المأمون, منشية البكرى, مصر الجديدة, القاهرة.",مول
1052,سيتى بلازا مول,"ش 17, متفرع من ش 82, منطقة خدمات الحى الاول, التجمع الخامس, القاهرة الجديدة, القاهرة.",مول
1053,سيتى بلازا مول,"طريق الشهداء, مدينة الشروق, القاهرة.",مول
1054,سيتى ستارز,"ش عمر بن الخطاب, مدينة نصر, القاهرة.",مول
1055,سيتى سكوير مول,"., مدينة الرحاب, القاهرة.",مول
1056,سيتى سنتر,"3 ش مكرم عبيد , المنطقة السادسة, مدينة نصر, القاهرة.",مول
1057,سيتى سنتر الماظة,"طريق النصر, تقاطع طريق القاهرة السويس, الماظة, مصر الجديدة, القاهرة.",مول
1058,سيتى مول,"49 ش نوبار, باب اللوق, القاهرة.",كمبيوتر اجهزة وقطع غيار
1059,سيلفر ستار مول,"القطعة 82 ش اخناتون, الحى الاول, التجمع الخامس, القاهرة الجديدة, القاهرة.",مول
1060,سينما السرايا مول,"16 ش ولى العهد, سراى القبة, القاهرة.",سينما ومسارح
1061,سينما فيوتشر مول,"محلية 5 ش المستقبل, التجمع الثالث, القاهرة الجديدة, القاهرة.",سينما ومسارح
1062,سينما ميراج مول,"كم 7 طريق القاهرة السويس الصحراوى, التجمع الاول, القاهرة الجديدة, القاهرة.",سينما ومسارح
1063,شملا مول,"11 ش 26 يوليو, وسط البلد, القاهرة.",مول
1064,شهد مول,"86 ش المركز الاجتماعى, المرج, القاهرة.",محلات ملابس
1065,شو مول للاحذية,"3 عمارات البترول ش 9, المقطم, القاهرة.",محلات احذية وشنط
1066,شيلد مول,"21 ش سمير عبد الرؤوف, امتداد ش مكرم عبيد, الحى الثامن, مدينة نصر, القاهرة.",محل ملابس اطفال
1067,صبا مول,"6 ش عبد الرحمن, حلوان, القاهرة.",كمبيوتر اجهزة وقطع غيار
1068,صفا مول,"46 ش راغب  تقاطع ش شريف, حلوان, القاهرة.",مول
1069,صن رايز بلازا مول,"ش 17  متفرع من ش التسعين - المنطقة الاولى, التجمع الخامس, القاهرة الجديدة, القاهرة.",مول
1070,صن سيتى مول,"مربع 1258ف طريق الاوتوستراد, مساكن شيراتون, مصر الجديدة, القاهرة.",مول
1071,صن مول,"مساكن الضباط ش الميثاق, الحى العاشر, مدينة نصر, القاهرة.",مول
1072,طلعت حرب مول,"30 ش طلعت حرب, وسط البلد, القاهرة.",مول
1073,طيبة اوتلت مول,"75 طريق النصر, مدينة نصر, القاهرة.",مول
1074,طيبة مول,"ش 1, متفرع من محور 79, الحى الثالث, التجمع الخامس, القاهرة الجديدة, القاهرة.",مول
1075,عنابة سنتر,"10 ش بطرس غالى, روكسى, مصر الجديدة, القاهرة.",مول
1076,عنابة مول,"ش 1, متفرع من محور 79, الحى الثالث, التجمع الخامس, القاهرة الجديدة, القاهرة.",مول
1077,فاليو مول,"ش السنترال, مدينة الشروق, القاهرة.",مول
1078,فاميلى مول للملابس,"151 ش الانتاج, جسر السويس, القاهرة.",محلات ملابس
1079,فايف ايه - ووتر واى,"الطريق الدائرى, التجمع الخامس, القاهرة الجديدة, القاهرة.",مول
1080,فرنتشر تاون مول,"123 ش حسن المأمون, الحى السادس, مدينة نصر, القاهرة.",اثاث منزلي ومكتبي واثاث حدائق
1081,فرنتشر ترند مول,"الطريق الدائرى, التجمع الاول, القاهرة الجديدة, القاهرة.",مول
1082,فلوريدا مول,"1229 ش الشيخ على جاد الحق, مساكن شيراتون, مصر الجديدة, القاهرة.",مول
1083,فيرست مول 124,"القطعة 124 ش البنوك, قطاع 1, مركز المدينة, التجمع الخامس, القاهرة الجديدة, القاهرة.",مول
1084,فيوتشر مول,"محلية 5 ش المستقبل, التجمع الثالث, القاهرة الجديدة, القاهرة.",مول
1085,قطامية مول,"ش 17, متفرع من ش اخناتون, منطقة خدمات الحى الاول, التجمع الخامس, القاهرة الجديدة, القاهرة.",مول
1086,كابيتال بلازا,"14 ابراج بدر, المعادى, القاهرة.",مول
1087,كابيتال مول,"ش الجيش, مصر الجديدة, القاهرة.",مول
1088,كابيتال مول,"القطعة 52, منطقة خدمات الحى الاول, التجمع الخامس, القاهرة الجديدة, القاهرة.",مول
1089,كايرو بيزنس جات,"القطعة 294 - ش التسعين  القطاع الثانى, التجمع الخامس, القاهرة الجديدة, القاهرة.",مول
1090,كايرو فرست مول,"ش ام كلثوم, التجمع الاول, القاهرة الجديدة, القاهرة.",مول
1091,كايرو فستيفال سيتى مول,"الطريق الدائرى, كايرو فيستيفال, القاهرة الجديدة, القاهرة.",مول
1092,كايرو كومبليكس,"ش انقرة, مساكن شيراتون, مصر الجديدة, القاهرة.",مول
1093,كايرو مول للكمبيوتر,"2 ش المدينة المنورة, المرج, القاهرة.",كمبيوتر اجهزة وقطع غيار
1094,كرافت زون مدينتى,", المحورالشرقى, المنطقة الجنوبية الشرقية, مدينتى, القاهرة.",مول
1095,كلاود 9 مول,"محور محمد نجيب, بالم هيلز كمباوند, التجمع الخامس, القاهرة الجديدة, القاهرة.",مول
1096,كمبيو بلازا مول,"6 ش الاسيوطى, روكسى, مصر الجديدة, القاهرة.",مول
1097,كمبيو مول,"7 ش مدرسة المتفوقين, عين شمس الشرقية, القاهرة.",مول
1098,كمبيو مول,"القطعة 68/67, منطقة خدمات الحى الاول, التجمع الخامس, القاهرة الجديدة, القاهرة.",كمبيوتر اجهزة وقطع غيار
1099,كمبيو مول,"126 ش مصطفى النحاس, المنطقة السادسة, مدينة نصر, القاهرة.",كمبيوتر اجهزة وقطع غيار
1100,كمبيو مول,"62 ش مؤسسة الزكاة, المرج, القاهرة.",مول
1101,كور مول,"ش 12, الحى الاول, التجمع الخامس, القاهرة الجديدة, القاهرة.",مول
1102,كوفى شوب بطيخة مول,"ش المركز الطبى, عزبة الهجانة, مدينة نصر, القاهرة.",مقاهى
1103,كونكورد بلازا مول,"ش التسعين الجنوبى, المستثمرين الجنوبية, القاهرة الجديدة, القاهرة.",مول
1104,كوين سنتر,"60 ش الخليفة المأمون, منشية البكرى, مصر الجديدة, القاهرة.",مول
1105,كيدز مول,"43 ش جمال الدين دويدار  متفرع من ش احمد الزمر, الحى الثامن, مدينة نصر, القاهرة.",لعب
1106,كيرا مول,"القطعة 320 ش التسعين الجنوبى, التجمع الخامس, القاهرة الجديدة, القاهرة.",مول
1107,لايف مول,"القطعة 65ب - ش التسعين - منطقة المستثمرين الجنوبية, التجمع الخامس, القاهرة الجديدة, القاهرة.",مول
1108,لايف مول,"القطعة 79 ش 17, منطقة خدمات الحى الاول, التجمع الخامس, القاهرة الجديدة, القاهرة.",مول
1109,ليفيلز مول,"ش د. محمود ابراهيم, متفرع من ش عباس العقاد, مدينة نصر, القاهرة.",مول
1110,مارفى مول,"ش التسعين الشمالى, تقاطع ش محمد نجيب, التجمع الخامس, القاهرة الجديدة, القاهرة.",مول
1111,مارينا مول,"القطعة 39, منطقة خدمات الحى الاول, التجمع الخامس, القاهرة الجديدة, القاهرة.",مول
1112,ماكسيم مول,"ش التسعين الشمالى, التجمع الخامس, القاهرة الجديدة, القاهرة.",مول
1113,مترو مول,"10 ش ابن الحكم, حلمية الزيتون, القاهرة.",مول
1114,مجمع المواردى,"1 ميدان ابو الريش, السيدة زينب, القاهرة.",مول
1115,مرحبا مول,"القطعة 67, منطقة خدمات الحى الاول, التجمع الخامس, القاهرة الجديدة, القاهرة.",مول
1116,مركاتو مول,"عمارات الحرس الجمهورى - ش عباس العقاد  تقاطع طريق النصر, مدينة نصر, القاهرة.",مول
1117,مركاتو مول,"ش 44, الحى الخامس, التجمع الخامس, القاهرة الجديدة, القاهرة.",مول
1118,مركز البستان التجارى,"18 ش البستان, باب اللوق, القاهرة.",مول
1119,براند مول,"32 أ ش جسر السويس, الالف مسكن, جسر السويس, القاهرة.",مول
1120,بروميناد نرجس مول,", محور 79, النرجس, القاهرة الجديدة, القاهرة.",مول
1121,بريموس,"17   ميدان العتبة, العتبة, القاهرة.",مول
1122,بلاتينيوم مول,"ش 48, الحى الثالث, التجمع الخامس, القاهرة الجديدة, القاهرة.",مول
1123,بندر مول,"1 ش فلسطين, المعادى الجديدة, المعادى, القاهرة.",مول
1124,بورتو كايرو مول,"الطريق الدائرى, التجمع الاول, القاهرة الجديدة, القاهرة.",مول
1125,بورتو نيو كايرو مول,"القطعة 15 ش التسعين الجنوبى, قطاع 4, التجمع الخامس, القاهرة الجديدة, القاهرة.",مول
1126,بوليفارد النصر,"سور نادى السكة الحديد طريق النصر, مدينة نصر, القاهرة.",مول
1127,بولينج السراج سيتى مول,"ش عطية الصوالحى  امتداد ش مكرم عبيد, الحى الثامن, مدينة نصر, القاهرة.",صالات بولينج ومعدات
1128,بوينت 90 مول,"ش العبور, متفرع من ش التسعين, التجمع الخامس, القاهرة الجديدة, القاهرة.",مول
1129,بيرل دى روا مول,", محور النصر - ميدان جيبوتى, التجمع الخامس, القاهرة الجديدة, القاهرة.",مول
1130,بيمن مول,"1089 كورنيش النيل, جاردن سيتى, القاهرة.",محلات ملابس
1131,بيوت الازياء الراقية,"5 ش طلعت حرب  متفرع من ميدان التحرير, وسط البلد, القاهرة.",مول
1132,تاورز مول,"2005 ج ابراج نايل سيتى - كورنيش النيل, رملة بولاق, القاهرة.",مول
1133,تاون سنتر,"طريق مصر اسماعيلية الصحراوى, تقاطع الطريق الدائرى, مدينة السلام, القاهرة.",مول
1134,تاون سنتر مول,"طريق الشباب, مدينة الشروق, القاهرة.",مول
1135,تحيا مصر مول,"12 ش الخليفة المأمون, منشية البكرى, مصر الجديدة, القاهرة.",مول
1136,ترافيل مول للسياحة,"31 ش زاكر حسين, الحى السابع, مدينة نصر, القاهرة.",وكالات سياحة
1137,تريفيوم سكوير,"ش التسعين الشمالى, التجمع الخامس, القاهرة الجديدة, القاهرة.",مول
1138,تكنولوجى سيتى مول,"2 ش هشام لبيب, متفرع من ش سمير عبد الرؤوف, الحى الثامن, مدينة نصر, القاهرة.",مول
1139,الملحق التجارى لرمسيس هيلتون,"11 ش ساحل الغلال, وسط البلد, القاهرة.",مول
1140,المملكة مول,"13 ش الشواذلية  متفرع من ش الموسكى, الموسكى, القاهرة.",محلات ملابس
1141,الميرلاند مول,"15 ش السباق, متفرع من ش الحجاز, المريلاند, مصر الجديدة, القاهرة.",مول
1142,الهدى والنور,"5 بلوك 6 ش احمد الزمر, الحى الثامن, مدينة نصر, القاهرة.",مول
1143,الواحة مول,"3 مساكن النيل N -, مدينة السلام, القاهرة.",تكييف هواء
1144,اليمامة سنتر,"3 ش د. طه حسين, الزمالك, القاهرة.",مول
1145,اليو مول للالوميتال,"16 ش سعيد سلامة, البساتين, القاهرة.",الومنيوم
1146,امريكانا بلازا,"ش التسعين الجنوبى, التجمع الخامس, القاهرة الجديدة, القاهرة.",مول
1147,اميرالد توين بلازا,"محور السادات, متفرع من الطريق الدائرى, التجمع الاول, القاهرة الجديدة, القاهرة.",مول
1148,او 1 مول,"محور محمد نجيب, المستثمرين الشمالية, القاهرة الجديدة, القاهرة.",مول
1149,اوبتى مول,"1 ش محمود جبر, البساتين, القاهرة.",نظارات وبصريات
1150,اوبن اير مول,"طريق طلعت مصطفى, مدينتى, القاهرة.",مول
1151,اول سيزونز بارك,"طريق طلعت مصطفى, مدينتى, القاهرة.",مول
1152,اير مول,"طريق المطار, منطقة المطار, مصر الجديدة, القاهرة.",مول
1153,ايس هارد وير ايجيبت,"1 امتداد ش عبد الحميد بدوى, شيراتون المطار, مصر الجديدة, القاهرة.",اثاث منزلي ومكتبي واثاث حدائق
1154,ايست هب مول,", المحور الشرقى, مدينتى, القاهرة.",مول
1155,اينوفا فرنيتشر مول,"الطريق الدائرى, البارون سيتى, القطامية, القاهرة.",اثاث منزلي ومكتبي واثاث حدائق
1156,بارك مول,"ش التسعين الجنوبى, قطاع 4, بورتو نيو كايرو كمباوند, المستثمرين الجنوبية, القاهرة الجديدة, القاهرة.",مول
1157,بانوراما مول الشروق,"القطعة السادسة -  - الحى السابع, مدينة الشروق, القاهرة.",مول
1158,الدفراوى مول,"8 ش متحف المطرية, عين شمس الشرقية, القاهرة.",مول
1159,الراعى مول لخدمات المحمول,"49 ش مصطفى الكردى, شبرا, القاهرة.",موبايلات واكسسوارات
1160,الربع مول,"50 ش على عبد العزبز, البساتين, القاهرة.",محلات ملابس
1161,الزنقة مول,"ش طلعت حرب, وسط البلد, القاهرة.",اكسسوارات حريمى
1162,الزهراء مول,"4 /6ف, منطقة الفيلات - المنطقة السادسة - الحى الاول, التجمع الخامس, القاهرة الجديدة, القاهرة.",مول
1163,السخاوى مول,"9 ش السخاوى, منشية البكرى, مصر الجديدة, القاهرة.",مول
1164,السراج سيتى مول,"ش عطية الصوالحى, امتداد ش مكرم عبيد, الحى الثامن, مدينة نصر, القاهرة.",مول
1165,السراى مول,"16 ش ولى العهد, حدائق القبة, القاهرة.",مول
1166,السرايا مول,"ش طه حسين, محور 80, الحى الرابع, التجمع الخامس, القاهرة الجديدة, القاهرة.",مول
1167,الشركة المصرية لخدمات التسويق الالكترونى - مش مجرد مول,"5 ش ابو حيان التوحيدى, الحى السابع, مدينة نصر, القاهرة.",اجهزة منزلية
1168,العجيل شوبينج مول,"20 ش بغداد, الكوربة, مصر الجديدة, القاهرة.",اجهزة منزلية
1169,العدالة مول,"105 ش الجزائر, المعادى, القاهرة.",محلات ملابس
1170,العلياء مول,"ش 53, الحى الثانى - المنطقة الثانية, التجمع الخامس, القاهرة الجديدة, القاهرة.",مول
1171,العمدة مول,"3, ميدان العتبة, العتبة, القاهرة.",معدات سمعيات ومرئيات
1172,الفولى مول,"4 ش الجيش, العتبة, القاهرة.",محلات ملابس
1173,القصر مول,"30 ش برهان, تقاطع ش حيدر, حلوان, القاهرة.",مول
1174,القطامية بلازا مول,"القطعة 112 ش مجمع البنوك, التجمع الخامس, القاهرة الجديدة, القاهرة.",مول
1175,القطامية داون تاون مول,"القطعة A ش التسعين الجنوبى, مركز المدينة, التجمع الخامس, القاهرة الجديدة, القاهرة.",مول
1176,الماظة افينيو,"ش ابو بكر الصديق, الماظة, مصر الجديدة, القاهرة.",مول
1177,المعادى جراند مول,"ش 250, ميدان المعادى جراند مول, المعادى, القاهرة.",مول
1178,106 تاون سنتر,"القطعة 106 ش السبعين, القطاع التجارى الاول, منطقة البنوك, التجمع الخامس, القاهرة الجديدة, القاهرة.",مول
1179,اجورا مول,"ش النصر, التجمع الخامس, القاهرة الجديدة, القاهرة.",مول
1180,ارابيسك مول,"منطقة خدمات B1, مدينتى, القاهرة.",مول
1181,ارابيلا بلازا مول,"ش جمال عبد الناصر, الحى الثالث, ارابيلا, القاهرة الجديدة, القاهرة.",مول
1182,اركاديا مول,"4 أ كورنيش النيل, بولاق, القاهرة.",مول
1183,اعمار مول,"ش عبد الرحمن الرافعى  المجاورة الثالثة - الحى الثامن, مدينة الشروق, القاهرة.",مول
1184,افينيو مول,"ش مصعب بن عمير, المرحلة التاسعة, مدينة الرحاب, القاهرة.",مول
1185,الابرار مول,"16 ش عبد الحميد السيد, دار السلام, القاهرة.",مول
1186,الامير مول,"116 ش خلوصى, شبرا, القاهرة.",مول
1187,الانوار مول,"القطعة 101 ش السبعين, مجمع البنوك, التجمع الخامس, القاهرة الجديدة, القاهرة.",مول
1188,البارون مول,"الطريق الدائرىالبارون سيتى, القطامية, القاهرة.",اثاث منزلي ومكتبي واثاث حدائق
1189,البدرى كمبيو مول,"19 ش جمال عبد الناصر, الحرفيين, القاهرة.",مول
1190,الجبرتى مول,"7 ش الجبرتى, منشية البكرى, مصر الجديدة, القاهرة.",مول
1191,الجزار مول,"بلوك 3 - مساكن اطلس -, المقطم, القاهرة.",
1192,الجزيرة مول,"مساكن المظلوم الجديدة  - , الشرابية, القاهرة.",اتصالات ومعدات اتصال وخدمات
1193,الجولف مول,"القطعة 42, منطقة خدمات الحى الاول, التجمع الخامس, القاهرة الجديدة, القاهرة.",مول
1194,الحرية مول,"42 ش الاهرام, الكوربة, مصر الجديدة, القاهرة.",مول
1195,الحمد مول,", محور 79, منطقة خدمات الحى الاول, التجمع الخامس, القاهرة الجديدة, القاهرة.",مول
1196,الخان مول للملابس,", حارة اديب ترك - متفرع من ش الترعة البولاقية, شبرا, القاهرة.",محلات ملابس
1197,الدار مول للاجهزة الكهربائية,"12 ش عبد الحميد مكى, حدائق المعادى, المعادى, القاهرة.",مفروشات
1198,سكاى مول,"طريق الشباب, الشيخ زايد, السادس من اكتوبر, الجيزة.",مول
1199,سنتر اجياد التجارى,"اسكان الشباب 100 متر -, الحى 11, السادس من اكتوبر, الجيزة.",مول
1200,سنتر اجياد ستار,"المجاورة الثانية, الحى الاول, السادس من اكتوبر, الجيزة.",مول
1201,سنتر اجياد فيو,"ميدان الحرية, الحى العاشر, السادس من اكتوبر, الجيزة.",مول
1202,سنتر اطلس,"المجاورة الثالثة, الحى المتميز, السادس من اكتوبر, الجيزة.",مول
1203,سنتر اكتوبر هاوس,"ش سعاد كفافى, الحى المتميز, السادس من اكتوبر, الجيزة.",مول
1204,سنتر الاردنية,"ش مكة المكرمة, المجاورة الاولى, الحى السابع, السادس من اكتوبر, الجيزة.",مول
1205,سنتر الاسراء بلازا,", المحور المركزى - ميدان النجدة, الحى الثالث, السادس من اكتوبر, الجيزة.",مول
1206,سنتر الامريكية,"المحور المركزى - ميدان الحصرى, الحى السابع, السادس من اكتوبر, الجيزة.",مول
1207,سنتر البدوى,"المجاورة السابعة, الحى 11, السادس من اكتوبر, الجيزة.",مول
1208,سنتر الجهاز,"المجاورة السادسة, الحى العاشر, السادس من اكتوبر, الجيزة.",مول
1209,سنتر الجهاز,"محور الكفراوى - المجاورة السابعة, الحى الثالث, السادس من اكتوبر, الجيزة.",مول
1210,سنتر الحجاز,"محور الكفراوى, الحى الاول, السادس من اكتوبر, الجيزة.",مول
1211,سنتر الخلود,"المجاورة الثالثة, الحى الاول, السادس من اكتوبر, الجيزة.",مول
1212,سنتر الدالى,"المجاورة الثالثة, الحى السابع, السادس من اكتوبر, الجيزة.",مول
1213,سنتر الرويعى,"المجاورة الخامسة, الحى العاشر, السادس من اكتوبر, الجيزة.",مول
1214,سنتر الريحان,"حى البشاير, السادس من اكتوبر, الجيزة.",مول
1215,سنتر الزمردة,"حى البشاير, السادس من اكتوبر, الجيزة.",مول
1216,سنتر الشرق الاوسط,"ش مكة المكرمة, الحى السابع, السادس من اكتوبر, الجيزة.",مول
1217,سنتر الشروق,"المجاورة الاولى, الحى السابع, السادس من اكتوبر, الجيزة.",مول
1218,تويلف,"بلوك 12, محور 26 يوليو, الشيخ زايد, السادس من اكتوبر, الجيزة.",مول
1219,جاليريا 40,"40, محور 26 يوليو, الشيخ زايد, السادس من اكتوبر, الجيزة.",مول
1220,جولدن مول,", المحور المركزى - ميدان فودافون, الحى 11, السادس من اكتوبر, الجيزة.",مول
1221,حياة مول,"القطعة الثانية - طريق الشباب, الشيخ زايد, السادس من اكتوبر, الجيزة.",مول
1222,خضيرى مول,"طريق التعاونيات, الحى 11, السادس من اكتوبر, الجيزة.",مول
1223,داون تاون مول,"المحور المركزى, الشيخ زايد, السادس من اكتوبر, الجيزة.",مول
1224,دايموند مول,"المحور المركزى, الحى السابع, السادس من اكتوبر, الجيزة.",مول
1225,دجلة جاردنز مول,"طريق مصر الفيوم, السادس من اكتوبر, الجيزة.",مول
1226,دولفين لاند مول,"المحور المركزى - تقاطع محور 26 يوليو, السادس من اكتوبر, الجيزة.",مول
1227,ذا ايل,", محور 26 يوليو - تقاطع طريق وصلة دهشور, الشيخ زايد, السادس من اكتوبر, الجيزة.",مول
1228,ذا جيت بلازا,"ش المستقبل, كمباوند المستثمر الصغير, الشيخ زايد, السادس من اكتوبر, الجيزة.",مول
1229,ذا ستريب مول,"طريق وصلة دهشور, بفرلى هيلز, الشيخ زايد, السادس من اكتوبر, الجيزة.",مول
1230,ذا كورت يارد زايد,"ش الشباب, الحى 12, الشيخ زايد, السادس من اكتوبر, الجيزة.",مول
1231,ذا كيرف مول,"ش الجهاز  المجاورة الثالثة - الحى الثانى, الشيخ زايد, السادس من اكتوبر, الجيزة.",مول
1232,ذا ووك,"بفرلى هيلز - منطقة الخدمات, الشيخ زايد, السادس من اكتوبر, الجيزة.",مول
1233,رامو مول,"ش عبد المنعم رياض, الحى المتميز, السادس من اكتوبر, الجيزة.",مول
1234,رحاب اكتوبر مول,", حدائق اكتوبر, السادس من اكتوبر, الجيزة.",مول
1235,رنا مول,"المحور المركزى, الحى الثالث, السادس من اكتوبر, الجيزة.",مول
1236,زايد سيتى سنتر,"المجاورة الاولى - الحى الاول, الشيخ زايد, السادس من اكتوبر, الجيزة.",مول
1237,زمزم مول,"ميدان الحصرى - المحور المركزى, الحى السابع, السادس من اكتوبر, الجيزة.",مول
1238,اتريوم بلازا مول,"ش الشباب, كمباوند جرينز, الشيخ زايد, السادس من اكتوبر, الجيزة.",مول
1239,اتش سى فرنيتشر مول,", ميدان جهينة, السادس من اكتوبر, الجيزة.",مول
1240,اركان بلازا مول,"القطعة 31, الشيخ زايد, السادس من اكتوبر, الجيزة.",مول
1241,اكتوبر جراند مول,"., الحى الثالث, السادس من اكتوبر, الجيزة.",مول
1242,اكزت 14 مول,"ش الشباب, الشيخ زايد, السادس من اكتوبر, الجيزة.",مول
1243,الاردنية مول,"المجاورة الخامسة, الحى الثانى, السادس من اكتوبر, الجيزة.",مول
1244,الجزيرة بلازا مول,"القطعة 33, المجاورة السادسة, الحى الرابع, الشيخ زايد, السادس من اكتوبر, الجيزة.",مول
1245,السرايا مول,"طريق الشباب, الشيخ زايد, السادس من اكتوبر, الجيزة.",مول
1246,الكرمة مول,", كمباوند الكرمة 1, الشيخ زايد, السادس من اكتوبر, الجيزة.",مول
1247,المركز التجارى الحديث,"محور الكفراوى, الحى الثانى, السادس من اكتوبر, الجيزة.",مول
1248,المعز بلازا مول,", المجاورة الثانية, الحى 12, الشيخ زايد, السادس من اكتوبر, الجيزة.",مول
1249,امريكانا بلازا,", امتداد محور 26 يوليو, الشيخ زايد, السادس من اكتوبر, الجيزة.",مول
1250,انفينيتى مول,"محور الكفراوى, ميدان فودافون, الحى السادس, السادس من اكتوبر, الجيزة.",مول
